Key,Folder,Parent task,Default task workflow,Title,Workflow,Status,Custom status,Priority,Start Date,Duration,End Date,Depends On,Start Date Constraint
1,/,,,Final Project Delivery,Task workflow,Active,New,Normal,06/06/2025,10 days,19/06/2025,4FS,
2,/,Final Project Delivery,,Final presentation/demo,Task workflow,Active,New,Normal,19/06/2025,2 days,20/06/2025,3FS,
3,/,Final Project Delivery,,Packaging and deployment setup,Task workflow,Active,New,Normal,09/06/2025,8 days,18/06/2025,,
4,/,,,Unit & API Test Session,Task workflow,Active,New,Normal,28/05/2025,7 days,05/06/2025,9FS,
5,/,Unit & API Test Session,,Execution and debugging of Unit tests,Task workflow,Active,New,Normal,05/06/2025,2 days,06/06/2025,"6FS, 7FS, 8FS",
6,/,Unit & API Test Session,,Unit tests for front-end components,Task workflow,Active,New,Normal,29/05/2025,5 days,04/06/2025,,
7,/,Unit & API Test Session,,API tests for backend (server: routes testing),Task workflow,Active,New,Normal,29/05/2025,5 days,04/06/2025,,
8,/,Unit & API Test Session,,Unit tests for backend (DB side),Task workflow,Active,New,Normal,29/05/2025,5 days,04/06/2025,,
9,/,,,Code Implementation,Task workflow,Active,New,Normal,23/04/2025,25 days,27/05/2025,14FS,
10,/,Code Implementation,,Integration between backend and frontend,Task workflow,Active,New,Normal,26/05/2025,3 days,28/05/2025,"11FS, 12FS",
11,/,Code Implementation,,Backend implementation (server side),Task workflow,Active,New,Normal,29/04/2025,19 days,23/05/2025,,
12,/,Code Implementation,,Backend implementation (DB side),Task workflow,Active,New,Normal,29/04/2025,19 days,23/05/2025,13FS,
13,/,Code Implementation,,Database ER schema and table creation,Task workflow,Active,New,Normal,24/04/2025,3 days,28/04/2025,,
14,/,,,Software Design,Task workflow,Active,New,Normal,21/04/2025,2 days,22/04/2025,18FS,21/04/2025
15,/,Software Design,,UI/UX and interface mockups,Task workflow,Active,New,Normal,23/04/2025,1 day,23/04/2025,"17FS, 16FS",
16,/,Software Design,,Definition of endpoints and data flow,Task workflow,Active,New,Normal,21/04/2025,2 days,22/04/2025,,
17,/,Software Design,,Software model,Task workflow,Active,New,Normal,21/04/2025,2 days,22/04/2025,,
18,/,,,Requirements Planning,Task workflow,Active,In progress,Normal,25/03/2025,18 days,17/04/2025,27SF,25/03/2025
19,/,Requirements Planning,,FR Definition,Task workflow,Active,New,Normal,04/04/2025,3 days,08/04/2025,,
20,/,Requirements Planning,,NFR Definition,Task workflow,Active,New,Normal,04/04/2025,3 days,08/04/2025,,
21,/,Requirements Planning,,Use cases and scenarios,Task workflow,Active,New,Normal,09/04/2025,4 days,14/04/2025,19FS,
22,/,Requirements Planning,,Personas and user stories,Task workflow,Active,New,Normal,03/04/2025,2 days,04/04/2025,23FS,
23,/,Requirements Planning,,Context diagram and interface analysis,Task workflow,Active,New,Normal,01/04/2025,2 days,02/04/2025,25FS,
24,/,Requirements Planning,,Glossary,Task workflow,Active,New,Normal,14/04/2025,2 days,15/04/2025,,
25,/,Requirements Planning,,Stakeholders analysis,Task workflow,Active,New,Normal,28/03/2025,2 days,31/03/2025,27FS,
26,/,Requirements Planning,,Deployment Diagram,Task workflow,Active,New,Normal,16/04/2025,2 days,17/04/2025,24FS,
27,/,Requirements Planning,,Business model definition,Task workflow,Active,New,Normal,25/03/2025,3 days,27/03/2025,,
28,/,Requirements Planning,,Class Diagram,Task workflow,Active,New,Normal,11/04/2025,2 days,14/04/2025,,
